,BLS TC Sign 32B (µs),BLS TC Sign 1MiB (µs),BLS BLST Sign 32B (µs),BLS BLST Sign 1MiB (µs),ED25519 Sign 32B (µs),ED25519 Sign 1MiB (µs),BLS TC Verify 32B (µs),BLS TC Verify 1MiB (µs),BLS BLST Verify 32B (µs),BLS BLST Verify 1MiB (µs),ED25519 Verify 32B (µs),ED25519 Verify 1MiB (µs),SHA2-512 32B (µs),SHA2-512 1MiB (µs),SHA3-256 32B (µs),SHA3-256 1MiB (µs)
Average,=AVERAGE(B5:B1004),=AVERAGE(C5:C1004),=AVERAGE(D5:D1004),=AVERAGE(E5:E1004),=AVERAGE(F5:F1004),=AVERAGE(G5:G1004),=AVERAGE(H5:H1004),=AVERAGE(I5:I1004),=AVERAGE(J5:J1004),=AVERAGE(K5:K1004),=AVERAGE(L5:L1004),=AVERAGE(M5:M1004)
Median,=MEDIAN(B5:B1004),=MEDIAN(C5:C1004),=MEDIAN(D5:D1004),=MEDIAN(E5:E1004),=MEDIAN(F5:F1004),=MEDIAN(G5:G1004),=MEDIAN(H5:H1004),=MEDIAN(I5:I1004),=MEDIAN(J5:J1004),=MEDIAN(K5:K1004),=MEDIAN(L5:L1004),=MEDIAN(M5:M1004)
stdev,=STDEV(B5:B1004),=STDEV(C5:C1004),=STDEV(D5:D1004),=STDEV(E5:E1004),=STDEV(F5:F1004),=STDEV(G5:G1004),=STDEV(H5:H1004),=STDEV(I5:I1004),=STDEV(J5:J1004),=STDEV(K5:K1004),=STDEV(L5:L1004),=STDEV(M5:M1004)
117,1482.791,3480.333,125.708,513.792,11.667,3518.125,4013.959,5614.666,531.25,927.5,27.875,1737.708,0.208,1727.333,0.209,1642.083
118,1709.833,3804.291,125.583,513.833,11.708,3426.25,4243.917,5559.041,523.666,930.375,27.958,1859.625,0.208,1859.583,0.209,1767.833
119,1486.417,3364.208,126.084,513.792,11.708,3553.125,4055.209,5586.708,517.375,940.5,31.625,1738.542,0.208,1787.375,0.208,1665.833
120,1732.208,3283.25,125.791,513.875,11.709,3444.583,4019.208,5517.209,533.416,922.209,27.625,1780.417,0.208,1778.292,0.208,1893.167
121,1605.209,3079.667,125.834,514,11.708,3491.25,3944.25,6285.542,529.292,931,28.458,1799.916,0.209,1753.792,0.208,1619.959
122,1491.666,3146.667,125.875,513.833,11.708,3495.583,3932.167,5572.875,523.333,939.167,28.125,1806.292,0.25,1744.125,0.208,1640.291
123,1650.292,3398.458,140.084,519.333,11.708,3430.584,3897.541,5729.166,516.375,923.375,28.166,1741.375,0.25,1756.875,0.208,1726.667
124,1580.125,3149.958,125.875,513.917,16.708,3548.292,3973.583,5630.25,542.208,955.792,27.792,1758.625,0.25,1713.959,0.208,1653.166
125,1564.292,3210.708,126,513.875,11.625,3470.167,3899.583,5588.833,563,954.041,27.833,1824.917,0.25,1801.167,0.292,1631.625
126,1605.708,3258,125.625,513.833,11.708,3475.375,3974.25,5533.208,574.333,931.75,27.833,1769.417,0.208,1806.25,0.209,1677.5
